date,/m/02kzw4_AL,/m/02kzw4_AK,/m/02kzw4_AZ,/m/02kzw4_AR,/m/02kzw4_CA,/m/02kzw4_CO,/m/02kzw4_CT,/m/02kzw4_DE,/m/02kzw4_FL,/m/02kzw4_GA,/m/02kzw4_HI,/m/02kzw4_ID,/m/02kzw4_IL,/m/02kzw4_IN,/m/02kzw4_IA,/m/02kzw4_KS,/m/02kzw4_KY,/m/02kzw4_LA,/m/02kzw4_ME,/m/02kzw4_MD,/m/02kzw4_MA,/m/02kzw4_MI,/m/02kzw4_MN,/m/02kzw4_MS,/m/02kzw4_MO,/m/02kzw4_MT,/m/02kzw4_NE,/m/02kzw4_NV,/m/02kzw4_NH,/m/02kzw4_NJ,/m/02kzw4_NM,/m/02kzw4_NY,/m/02kzw4_NC,/m/02kzw4_ND,/m/02kzw4_OH,/m/02kzw4_OK,/m/02kzw4_OR,/m/02kzw4_PA,/m/02kzw4_RI,/m/02kzw4_SC,/m/02kzw4_SD,/m/02kzw4_TN,/m/02kzw4_TX,/m/02kzw4_UT,/m/02kzw4_VT,/m/02kzw4_VA,/m/02kzw4_WA,/m/02kzw4_WV,/m/02kzw4_WI,/m/02kzw4_WY,/m/02kzw4_DC,/m/02kzw4_US
8/11/22,0,0,73,56,52,0,0,0,52,63,0,92,38,76,0,0,0,49,91,53,0,25,37,0,58,0,0,41,22,25,0,52,22,0,49,0,98,37,0,53,50,75,46,0,0,57,100,0,70,92,47,51
8/12/22,57,0,0,0,56,47,0,0,25,97,0,0,25,53,100,36,67,21,0,73,67,36,41,0,0,27,36,77,0,59,0,28,0,43,64,46,0,25,0,46,0,0,69,0,0,0,48,0,49,0,0,47
8/13/22,62,0,45,38,32,59,33,0,52,29,0,0,26,31,0,0,40,0,0,64,52,69,0,0,33,0,0,92,100,57,77,100,30,0,57,81,71,35,100,0,0,39,50,84,0,83,34,24,63,0,0,51
8/14/22,0,0,71,0,44,0,39,100,39,0,35,0,14,0,0,0,0,27,100,0,52,19,0,71,0,100,0,41,0,21,0,41,41,100,37,36,43,36,0,84,0,36,37,30,0,51,35,0,0,0,100,40
8/15/22,31,48,0,32,50,0,0,0,53,58,0,0,11,25,0,0,40,26,0,100,25,70,32,100,0,0,35,0,53,46,0,53,36,0,46,0,49,56,0,34,46,57,54,40,0,100,88,20,39,0,0,50
8/16/22,100,0,100,0,90,90,32,0,100,36,94,0,87,70,64,100,45,100,41,93,49,100,68,92,100,74,100,37,56,99,100,99,71,0,81,67,90,69,67,0,100,84,77,60,100,93,62,25,90,0,0,95
8/17/22,78,100,64,100,100,100,100,0,70,74,38,100,100,100,0,51,94,23,50,74,100,86,100,51,79,0,33,100,0,100,0,96,100,0,100,63,30,100,0,100,0,100,100,0,0,98,95,0,100,0,35,100
8/18/22,72,0,47,64,60,66,55,0,53,46,100,53,54,0,0,0,100,0,83,88,78,66,54,0,66,0,0,0,72,60,60,80,56,0,59,48,87,48,0,47,0,80,68,100,0,53,21,0,70,100,0,69
8/19/22,0,0,15,41,52,94,39,0,30,100,0,69,33,79,46,49,0,46,0,64,27,28,35,0,28,33,50,36,0,47,0,56,30,0,75,92,0,40,0,34,88,83,45,29,0,25,72,41,70,0,0,57
8/20/22,0,0,36,37,37,32,0,0,49,0,0,0,16,44,0,30,0,53,47,98,41,76,19,0,37,0,27,0,0,0,66,90,79,96,51,39,100,45,0,25,0,79,41,34,0,38,36,40,73,78,0,53
8/21/22,0,0,43,0,51,0,45,0,40,66,28,0,26,0,94,45,0,29,58,71,41,92,23,0,0,0,0,93,78,0,0,46,67,0,27,100,34,51,0,29,66,30,35,73,0,21,59,100,47,63,0,50
