Week,Hearing aid: (United States)
9/5/21,73
9/12/21,71
9/19/21,73
9/26/21,86
10/3/21,82
10/10/21,83
10/17/21,89
10/24/21,80
10/31/21,80
11/7/21,82
11/14/21,80
11/21/21,78
11/28/21,77
12/5/21,76
12/12/21,71
12/19/21,71
12/26/21,69
1/2/22,70
1/9/22,67
1/16/22,68
1/23/22,69
1/30/22,71
2/6/22,75
2/13/22,70
2/20/22,71
2/27/22,67
3/6/22,73
3/13/22,72
3/20/22,69
3/27/22,69
4/3/22,69
4/10/22,64
4/17/22,65
4/24/22,81
5/1/22,63
5/8/22,68
5/15/22,61
5/22/22,66
5/29/22,61
6/5/22,62
6/12/22,66
6/19/22,73
6/26/22,71
7/3/22,73
7/10/22,74
7/17/22,71
7/24/22,73
7/31/22,77
8/7/22,75
8/14/22,100
8/21/22,88
8/28/22,73
