date,hearing_AL,hearing_AK,hearing_AZ,hearing_AR,hearing_CA,hearing_CO,hearing_CT,hearing_DE,hearing_FL,hearing_GA,hearing_HI,hearing_ID,hearing_IL,hearing_IN,hearing_IA,hearing_KS,hearing_KY,hearing_LA,hearing_ME,hearing_MD,hearing_MA,hearing_MI,hearing_MN,hearing_MS,hearing_MO,hearing_MT,hearing_NE,hearing_NV,hearing_NH,hearing_NJ,hearing_NM,hearing_NY,hearing_NC,hearing_ND,hearing_OH,hearing_OK,hearing_OR,hearing_PA,hearing_RI,hearing_SC,hearing_SD,hearing_TN,hearing_TX,hearing_UT,hearing_VT,hearing_VA,hearing_WA,hearing_WV,hearing_WI,hearing_WY,hearing_DC
7/15/22,21,0,41,21,43,59,29,65,55,53,76,47,43,38,11,56,38,61,50,28,31,36,33,0,36,0,0,38,36,47,75,42,42,66,50,29,60,50,29,41,0,37,46,66,0,32,29,55,33,0,0
7/16/22,52,53,42,23,32,32,33,0,38,33,63,75,30,47,22,0,58,0,0,11,27,36,39,63,45,0,27,39,28,29,25,54,37,0,42,33,31,27,24,31,78,33,37,45,19,40,36,35,40,0,33
7/17/22,43,0,46,0,29,36,57,0,37,37,0,0,34,66,18,18,63,60,54,41,28,34,43,45,35,45,0,18,23,36,19,39,36,0,36,31,21,20,35,31,0,45,35,60,28,38,28,78,48,0,0
7/18/22,32,0,54,48,42,51,55,34,65,66,99,39,61,100,25,90,49,68,35,31,39,61,30,0,100,100,61,43,47,51,74,52,69,24,65,54,49,62,40,53,39,60,64,72,0,62,24,53,47,36,74
7/19/22,81,0,62,43,52,63,46,0,68,87,60,35,43,61,31,57,53,56,57,47,34,66,41,0,51,37,100,58,37,54,68,45,67,0,48,45,44,60,78,67,0,43,64,47,0,54,34,0,54,37,55
7/20/22,57,0,42,67,41,53,38,21,50,72,0,0,63,75,26,0,49,52,52,46,39,51,38,0,32,41,49,96,0,34,51,41,72,19,72,21,36,45,23,94,44,67,46,43,0,48,31,23,48,0,62
7/21/22,93,36,100,75,100,87,70,74,100,100,68,76,100,99,100,87,70,100,100,100,100,100,100,78,89,42,59,100,43,100,100,100,100,100,100,90,100,86,86,54,39,100,100,39,51,100,100,0,100,38,85
7/22/22,58,0,55,52,72,100,100,0,88,77,100,80,72,84,53,72,100,45,67,82,77,80,52,73,53,48,59,34,36,83,49,84,88,0,93,74,67,100,82,100,64,75,67,89,40,49,55,100,58,30,100
7/23/22,0,0,31,40,34,27,21,45,41,41,0,44,12,55,28,17,48,30,0,28,20,45,24,84,35,34,0,32,0,30,30,51,19,0,41,14,31,44,45,41,0,42,40,45,48,25,17,0,46,0,41
7/24/22,67,0,22,0,25,37,46,25,32,36,0,0,38,32,36,23,0,72,0,33,22,24,23,40,7,0,23,16,23,34,0,33,21,0,50,39,18,30,0,24,0,12,39,33,63,28,16,56,61,49,40
7/25/22,80,0,38,56,37,35,28,0,40,66,25,55,43,37,36,60,34,51,29,42,21,40,31,72,31,66,43,39,56,41,23,49,39,32,51,41,20,31,24,20,97,41,44,25,0,27,23,80,46,0,63
7/26/22,66,86,37,100,36,44,28,0,47,55,70,53,47,47,31,33,20,71,21,27,30,35,26,54,44,29,31,47,29,30,46,46,52,0,44,36,32,30,0,44,49,46,58,100,25,50,19,27,38,48,67
7/27/22,60,0,32,18,25,41,28,0,39,54,66,59,26,62,24,85,47,36,11,39,36,31,31,70,19,47,0,16,0,39,18,28,37,41,32,36,26,38,0,31,0,63,50,60,0,34,26,0,39,0,36
7/28/22,54,0,26,0,38,60,35,100,49,53,0,0,35,70,30,28,30,0,27,21,28,49,18,35,43,72,43,29,15,35,0,35,42,39,34,0,16,33,24,40,38,26,39,55,0,36,20,41,43,62,36
7/29/22,45,54,30,22,35,38,42,29,40,26,34,100,39,37,38,52,32,43,16,24,23,14,27,23,45,30,38,49,28,30,28,42,44,23,38,34,32,32,16,43,0,37,43,29,0,49,23,24,14,0,46
7/30/22,52,49,35,69,23,30,16,31,28,32,28,0,31,34,0,0,19,30,0,25,16,22,14,18,25,0,17,25,0,30,14,40,11,0,32,0,25,25,43,27,100,32,35,21,0,17,8,49,43,0,26
7/31/22,51,49,17,60,21,22,34,0,29,34,66,0,40,50,0,35,20,78,18,24,13,34,40,31,0,0,29,35,18,21,20,31,35,0,26,53,23,21,0,45,0,40,40,31,0,47,12,30,10,39,0
8/1/22,0,52,24,28,31,46,40,93,38,55,0,55,40,50,18,69,72,25,15,26,27,37,24,36,40,0,0,22,0,38,46,49,36,0,41,0,14,42,29,22,41,47,51,84,0,29,24,37,22,0,57
8/2/22,52,26,32,0,33,43,45,0,41,58,69,57,43,53,19,64,61,61,15,35,33,38,20,40,47,0,48,14,88,42,36,35,37,0,71,17,31,43,0,33,36,38,43,43,22,43,16,57,44,79,52
8/3/22,73,0,28,0,30,38,40,35,40,64,0,44,35,26,36,39,39,53,21,43,37,35,30,19,34,35,35,23,42,41,28,39,32,0,39,37,17,40,0,71,0,51,43,69,0,41,18,73,37,0,50
8/4/22,100,0,30,51,31,27,22,27,47,42,0,84,55,63,32,76,72,43,14,41,26,39,28,42,38,49,0,14,24,46,39,46,48,0,45,52,22,39,0,36,0,37,45,61,0,38,26,25,0,41,35
8/5/22,56,30,36,34,32,24,33,0,40,46,23,29,31,27,21,39,43,44,23,43,19,34,25,0,20,76,34,20,23,25,35,28,47,25,50,64,20,32,58,35,0,46,39,46,0,43,19,0,38,0,33
8/6/22,68,0,23,58,19,43,15,40,35,41,27,0,15,28,0,0,50,30,0,7,42,26,36,40,40,0,25,34,0,21,20,51,24,0,19,33,7,28,0,13,0,27,28,0,0,32,25,59,27,0,46
8/7/22,40,37,20,30,25,21,12,24,40,23,0,20,6,17,15,27,26,36,0,19,19,24,31,21,18,88,35,0,0,18,22,31,30,0,30,24,30,15,0,41,0,9,32,0,0,29,4,56,14,37,23
8/8/22,83,0,36,34,27,37,71,0,45,51,40,36,44,47,8,66,41,37,31,27,21,43,24,20,34,55,44,35,0,28,14,45,39,0,45,29,35,28,0,41,0,78,42,41,0,54,22,0,33,54,39
8/9/22,55,46,27,16,40,40,35,22,44,45,0,35,48,54,27,47,46,58,37,37,29,36,26,42,46,42,35,24,28,38,44,40,49,21,45,50,20,45,0,43,55,60,50,30,0,46,28,98,32,0,0
8/10/22,78,36,40,37,33,44,15,0,36,56,0,83,46,50,0,75,52,54,12,27,33,34,8,58,34,43,39,14,0,36,27,38,73,0,44,56,22,35,24,41,0,47,45,45,16,39,13,0,17,0,0
8/11/22,53,0,24,41,33,25,23,0,44,40,0,31,30,71,21,20,58,42,25,30,25,33,28,52,35,0,0,32,60,23,32,44,26,0,43,72,26,42,58,74,0,41,48,41,27,35,32,0,19,0,20
8/12/22,44,0,53,45,35,40,35,27,41,57,0,0,27,50,35,45,37,34,17,37,25,28,20,53,28,0,0,15,59,25,27,28,14,38,49,54,18,36,20,56,0,42,52,25,0,35,22,0,31,0,0
8/13/22,28,29,27,75,22,33,23,0,33,40,0,0,43,38,0,51,30,19,0,26,19,27,10,26,18,54,19,15,15,28,28,46,31,0,31,47,22,34,0,13,0,0,35,54,0,25,19,0,29,0,0
