date,/m/02kzw4_AL,/m/02kzw4_AK,/m/02kzw4_AZ,/m/02kzw4_AR,/m/02kzw4_CA,/m/02kzw4_CO,/m/02kzw4_CT,/m/02kzw4_DE,/m/02kzw4_FL,/m/02kzw4_GA,/m/02kzw4_HI,/m/02kzw4_ID,/m/02kzw4_IL,/m/02kzw4_IN,/m/02kzw4_IA,/m/02kzw4_KS,/m/02kzw4_KY,/m/02kzw4_LA,/m/02kzw4_ME,/m/02kzw4_MD,/m/02kzw4_MA,/m/02kzw4_MI,/m/02kzw4_MN,/m/02kzw4_MS,/m/02kzw4_MO,/m/02kzw4_MT,/m/02kzw4_NE,/m/02kzw4_NV,/m/02kzw4_NH,/m/02kzw4_NJ,/m/02kzw4_NM,/m/02kzw4_NY,/m/02kzw4_NC,/m/02kzw4_ND,/m/02kzw4_OH,/m/02kzw4_OK,/m/02kzw4_OR,/m/02kzw4_PA,/m/02kzw4_RI,/m/02kzw4_SC,/m/02kzw4_SD,/m/02kzw4_TN,/m/02kzw4_TX,/m/02kzw4_UT,/m/02kzw4_VT,/m/02kzw4_VA,/m/02kzw4_WA,/m/02kzw4_WV,/m/02kzw4_WI,/m/02kzw4_WY,/m/02kzw4_DC
2021-09-15,28,0,45,0,63,0,38,31,58,62,49,0,38,0,39,51,17,0,0,19,31,98,71,0,62,0,60,0,0,20,19,85,37,0,67,30,30,28,0,0,0,27,40,38,0,23,19,0,32,0,0
2021-09-16,0,0,32,0,58,0,0,0,66,46,0,0,79,41,0,0,16,0,0,43,0,56,24,31,31,0,0,0,0,0,0,53,20,0,17,0,30,49,0,25,17,54,54,0,0,47,29,49,22,66,0
2021-09-17,0,0,40,0,54,28,0,22,92,38,0,38,61,0,0,72,0,0,0,20,0,71,36,55,94,0,64,62,0,46,0,59,44,0,66,49,0,52,0,27,21,69,8,61,0,29,39,0,23,0,0
2021-09-18,0,0,99,32,37,29,0,0,58,34,55,0,30,39,0,0,40,0,0,0,0,54,79,37,53,0,48,0,0,16,0,69,66,0,25,0,0,29,31,0,0,42,36,0,0,0,73,0,54,0,0
2021-09-19,0,32,0,20,62,0,0,0,44,48,0,0,74,69,0,0,0,0,0,0,25,29,0,0,62,0,0,0,0,0,0,27,33,0,0,68,27,43,0,21,19,0,43,0,0,0,25,0,0,0,0
2021-09-20,37,50,37,21,49,23,0,0,55,27,0,0,79,0,0,55,29,0,29,19,25,0,48,24,23,0,0,19,18,0,0,49,50,0,23,36,39,0,0,33,0,42,30,67,24,35,19,0,33,0,0
2021-09-21,25,0,16,27,51,28,31,0,64,25,0,39,55,33,0,0,30,0,0,0,40,47,23,0,30,60,37,0,16,18,0,38,22,0,30,0,53,66,41,23,0,39,41,0,0,0,0,0,39,0,27
2021-09-22,19,0,38,0,46,48,36,38,49,51,0,68,34,81,29,0,0,0,0,26,85,27,17,0,31,0,0,0,41,59,20,100,53,0,23,0,19,47,0,34,24,25,76,0,0,19,0,0,0,0,0
2021-09-23,49,0,47,42,45,62,0,58,56,26,0,0,81,29,0,27,25,0,96,36,23,79,51,0,44,0,35,0,0,42,0,78,23,0,42,23,32,64,0,27,0,38,94,0,0,24,15,84,34,0,0
2021-09-24,0,0,27,41,68,0,20,0,26,0,21,0,21,47,31,79,17,0,0,31,0,47,0,31,0,0,0,0,0,27,37,54,17,0,37,52,0,48,0,42,0,0,58,0,0,16,0,0,0,0,0
2021-09-25,0,0,45,0,76,0,0,0,100,50,0,0,59,41,0,48,26,0,0,29,0,0,100,0,85,0,0,27,0,44,0,35,20,0,40,21,73,0,0,20,28,71,35,81,0,90,52,40,0,0,81
2021-09-26,25,0,63,0,49,0,16,25,52,28,0,0,0,30,37,0,0,69,0,31,0,0,0,0,0,0,35,0,21,0,0,77,63,43,22,22,21,19,0,21,0,69,49,0,0,0,0,53,38,0,0
2021-09-27,100,0,28,0,51,16,0,0,77,30,48,56,69,0,49,0,36,84,0,63,54,37,0,0,38,0,38,0,18,51,25,47,32,24,33,64,37,40,0,24,0,91,52,23,21,77,79,0,0,0,29
2021-09-28,29,100,62,43,59,31,0,100,86,17,23,0,55,0,0,39,0,24,0,20,91,62,21,0,0,0,0,0,43,37,0,59,53,27,43,61,41,39,0,32,20,45,63,0,34,53,26,0,40,0,26
2021-09-29,0,0,20,26,92,45,27,0,92,0,33,37,78,25,62,0,25,0,0,0,0,52,40,0,51,50,0,57,0,53,0,92,14,38,0,17,0,31,0,0,0,38,78,60,0,19,41,43,87,0,0
2021-09-30,26,0,35,0,67,35,0,0,69,24,26,0,23,0,26,0,22,32,0,29,47,18,0,21,32,0,0,30,0,49,0,53,53,0,48,38,0,52,0,27,34,24,74,0,35,45,44,0,25,0,39
2021-10-01,20,0,55,0,66,26,0,29,51,34,0,53,74,25,0,37,35,28,0,67,0,41,52,0,0,0,0,0,0,56,0,49,52,0,50,48,19,57,0,0,0,26,74,0,22,21,0,0,0,0,100
2021-10-02,48,37,0,0,61,60,34,0,73,100,29,0,72,0,52,50,0,0,0,0,56,18,75,0,0,0,44,0,0,77,0,80,51,55,17,0,28,40,0,0,100,0,43,41,0,25,62,69,25,0,0
2021-10-03,0,0,18,0,39,20,27,0,56,41,0,0,54,0,0,0,0,56,43,37,27,0,0,0,40,0,84,40,0,53,0,44,41,0,27,0,25,64,0,0,0,0,47,0,0,71,30,0,27,40,0
2021-10-04,21,0,43,0,63,28,0,27,54,35,0,0,42,0,0,0,0,38,0,0,74,27,50,100,0,0,0,50,0,36,23,12,45,0,35,20,57,50,18,25,0,58,70,0,0,49,61,0,56,0,0
2021-10-05,64,0,23,26,40,23,34,0,82,38,0,0,48,23,100,53,31,100,0,34,61,21,61,0,37,49,80,33,0,37,0,45,39,39,53,27,25,60,0,42,33,92,37,0,0,66,18,0,36,0,0
2021-10-06,55,0,42,24,63,16,0,0,90,66,41,64,34,39,32,0,0,0,0,37,49,0,31,0,0,29,47,0,0,0,23,96,38,0,34,33,65,87,0,0,0,61,47,0,0,33,50,0,20,31,0
2021-10-07,0,0,0,0,54,15,0,60,83,42,22,0,43,68,73,55,47,0,41,0,0,30,50,0,52,0,0,35,0,34,0,54,15,62,70,0,23,67,0,81,0,30,52,0,0,54,34,0,33,0,0
2021-10-08,31,0,59,0,33,28,15,0,83,51,51,0,82,32,0,61,42,45,0,20,0,0,39,0,57,0,0,0,0,43,16,68,39,0,27,68,22,18,0,43,67,46,54,55,20,96,45,0,42,0,0
2021-10-09,0,0,46,0,64,25,0,0,61,29,0,0,0,0,0,0,62,0,54,53,35,29,0,0,0,45,0,43,0,0,0,47,31,0,0,0,23,74,0,0,0,45,71,31,0,0,0,0,0,0,0
2021-10-10,0,0,49,0,54,0,0,0,50,26,0,0,30,0,0,0,0,50,0,17,88,64,33,28,37,0,0,32,22,40,63,29,27,0,29,0,35,64,0,61,0,53,47,0,0,45,0,0,17,0,0
2021-10-11,31,29,40,0,53,36,30,34,70,46,0,0,91,64,50,0,74,0,67,22,42,37,21,19,47,31,22,0,0,47,0,40,74,0,46,58,46,38,0,43,0,55,48,26,0,15,0,0,21,0,0
2021-10-12,82,0,39,20,38,46,0,0,67,61,0,0,62,35,41,56,0,0,0,37,32,56,53,17,53,0,0,46,0,41,0,38,49,0,44,51,49,66,0,0,0,99,27,25,0,25,29,0,0,0,0
2021-10-13,41,0,56,0,52,14,33,0,86,40,0,51,84,0,84,0,100,0,42,18,0,74,23,0,0,0,48,0,37,48,56,46,72,0,16,0,19,82,0,67,0,65,71,0,0,54,28,34,31,25,39
2021-10-14,0,0,31,55,84,100,15,33,61,52,58,0,58,40,0,78,32,41,0,31,51,39,66,40,0,0,0,0,0,27,0,70,38,0,60,0,26,66,0,20,31,0,36,0,32,47,84,85,100,0,0
2021-10-15,22,0,31,0,35,0,0,0,67,45,0,0,62,36,29,66,17,0,47,100,20,25,0,23,61,0,0,65,0,59,23,33,18,0,39,31,0,56,55,55,0,100,49,0,0,39,32,0,32,0,0
2021-10-16,0,35,53,0,70,47,0,0,48,23,0,0,30,0,0,71,70,44,0,15,69,35,0,43,22,54,0,0,0,17,25,25,20,0,77,34,0,47,78,100,0,0,32,100,0,19,41,0,0,0,0
2021-10-17,0,0,93,0,42,18,20,90,44,41,31,62,45,34,0,0,17,0,46,73,70,0,0,40,0,46,0,0,0,34,0,47,42,0,28,0,22,61,0,20,0,40,36,0,0,0,0,0,0,0,0
2021-10-18,23,43,35,0,68,0,14,0,91,40,0,0,35,53,66,51,0,0,0,15,29,0,42,25,37,0,0,0,0,31,51,63,64,0,72,0,0,46,0,26,0,0,65,0,21,0,27,31,26,0,0
