date,/m/02kzw4_AL,/m/02kzw4_AK,/m/02kzw4_AZ,/m/02kzw4_AR,/m/02kzw4_CA,/m/02kzw4_CO,/m/02kzw4_CT,/m/02kzw4_DE,/m/02kzw4_FL,/m/02kzw4_GA,/m/02kzw4_HI,/m/02kzw4_ID,/m/02kzw4_IL,/m/02kzw4_IN,/m/02kzw4_IA,/m/02kzw4_KS,/m/02kzw4_KY,/m/02kzw4_LA,/m/02kzw4_ME,/m/02kzw4_MD,/m/02kzw4_MA,/m/02kzw4_MI,/m/02kzw4_MN,/m/02kzw4_MS,/m/02kzw4_MO,/m/02kzw4_MT,/m/02kzw4_NE,/m/02kzw4_NV,/m/02kzw4_NH,/m/02kzw4_NJ,/m/02kzw4_NM,/m/02kzw4_NY,/m/02kzw4_NC,/m/02kzw4_ND,/m/02kzw4_OH,/m/02kzw4_OK,/m/02kzw4_OR,/m/02kzw4_PA,/m/02kzw4_RI,/m/02kzw4_SC,/m/02kzw4_SD,/m/02kzw4_TN,/m/02kzw4_TX,/m/02kzw4_UT,/m/02kzw4_VT,/m/02kzw4_VA,/m/02kzw4_WA,/m/02kzw4_WV,/m/02kzw4_WI,/m/02kzw4_WY,/m/02kzw4_DC,/m/02kzw4_US
7/15/22,59,0,59,20,51,76,0,0,19,43,0,0,40,17,64,0,0,41,0,16,19,44,36,62,44,0,0,0,0,59,0,36,32,0,0,41,0,27,0,20,0,26,45,0,0,0,43,57,0,0,0,44
7/16/22,54,0,47,54,38,22,24,0,49,0,28,0,20,42,0,50,0,0,0,0,59,0,28,32,0,0,46,0,0,24,0,70,0,0,27,0,22,29,0,0,0,16,34,55,31,0,62,0,28,0,0,43
7/17/22,28,0,70,0,46,32,0,0,49,37,0,0,46,56,0,0,39,0,100,26,55,19,23,0,34,0,0,0,0,22,29,51,0,0,0,0,84,23,0,0,22,36,19,53,0,31,19,0,38,0,0,40
7/18/22,0,0,33,60,43,47,21,0,34,32,28,37,17,54,33,0,0,0,0,20,62,41,34,0,25,0,0,0,0,39,0,48,71,0,27,0,0,45,0,12,35,20,52,25,46,29,34,100,73,0,25,49
7/19/22,20,52,40,41,42,48,0,0,61,57,0,0,22,0,0,56,31,0,32,16,78,42,41,0,22,57,0,0,0,54,0,33,37,0,35,0,0,49,0,0,0,37,40,23,0,15,0,0,56,16,29,48
7/20/22,41,0,45,0,30,28,0,0,52,54,0,0,50,37,31,0,41,0,0,33,49,62,36,0,60,0,0,85,0,18,0,17,52,0,22,0,42,22,0,0,0,54,31,88,0,29,0,53,26,34,0,47
7/21/22,0,0,0,0,54,34,91,35,64,30,0,0,34,18,42,77,0,0,82,0,29,30,12,0,0,0,20,0,0,30,0,39,40,0,42,0,17,26,0,0,0,44,49,0,25,16,48,0,39,0,0,44
7/22/22,44,0,31,0,31,43,0,70,65,63,0,0,17,0,0,0,0,28,45,47,33,70,0,100,34,0,0,0,81,41,44,45,37,58,41,27,0,0,100,33,29,19,32,25,22,38,23,42,0,0,24,43
7/23/22,29,0,22,35,23,46,42,0,52,26,0,0,29,41,0,41,57,34,0,19,29,26,35,0,45,22,76,100,0,15,28,75,24,34,28,0,0,47,0,61,0,0,23,0,40,28,40,0,0,0,0,42
7/24/22,0,0,33,21,39,0,0,0,58,38,0,27,35,20,31,48,45,58,34,44,21,15,0,52,0,0,0,0,0,26,0,23,21,100,33,26,0,26,0,32,0,34,38,0,0,75,0,59,62,0,0,39
