date,hearing loss_AL,hearing loss_AK,hearing loss_AZ,hearing loss_AR,hearing loss_CA,hearing loss_CO,hearing loss_CT,hearing loss_DE,hearing loss_FL,hearing loss_GA,hearing loss_HI,hearing loss_ID,hearing loss_IL,hearing loss_IN,hearing loss_IA,hearing loss_KS,hearing loss_KY,hearing loss_LA,hearing loss_ME,hearing loss_MD,hearing loss_MA,hearing loss_MI,hearing loss_MN,hearing loss_MS,hearing loss_MO,hearing loss_MT,hearing loss_NE,hearing loss_NV,hearing loss_NH,hearing loss_NJ,hearing loss_NM,hearing loss_NY,hearing loss_NC,hearing loss_ND,hearing loss_OH,hearing loss_OK,hearing loss_OR,hearing loss_PA,hearing loss_RI,hearing loss_SC,hearing loss_SD,hearing loss_TN,hearing loss_TX,hearing loss_UT,hearing loss_VT,hearing loss_VA,hearing loss_WA,hearing loss_WV,hearing loss_WI,hearing loss_WY,hearing loss_DC,hearing loss_US
7/15/22,0,0,0,0,23,0,0,0,50,0,0,53,0,50,0,0,0,0,0,0,67,24,40,0,0,0,38,30,0,0,0,58,0,0,0,61,55,38,0,87,0,56,29,0,20,0,0,0,0,0,0,92
7/16/22,39,0,0,55,0,0,0,0,73,0,0,0,70,0,100,0,40,0,0,39,0,0,96,25,0,34,0,0,55,0,0,89,100,0,93,0,91,71,100,0,0,29,21,0,0,0,0,0,0,0,0,60
7/17/22,0,61,0,0,0,100,0,0,0,27,39,0,44,0,0,64,0,0,48,0,0,27,62,0,0,0,0,38,0,0,100,0,0,0,0,0,52,21,0,32,0,0,62,63,0,0,0,0,0,69,0,61
7/18/22,0,0,0,91,22,54,32,0,32,0,0,0,20,0,0,43,0,0,65,0,61,29,0,0,39,36,0,0,0,22,0,28,0,100,0,0,0,37,0,0,0,0,36,0,0,83,0,0,30,0,0,70
7/19/22,0,0,0,0,35,34,0,0,32,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,29,0,38,71,0,20,28,0,0,52,57,50,0,76,30,0,23,0,15,69
7/20/22,0,0,51,35,40,47,40,0,0,64,0,0,33,0,0,0,0,62,0,31,32,0,0,0,0,0,0,0,0,0,63,60,0,0,59,0,0,31,0,0,42,0,77,0,0,0,31,0,0,0,0,77
7/21/22,54,0,0,0,0,0,0,0,77,0,0,0,100,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,21,0,0,0,0,0,63,0,0,0,0,47,0,0,0,0,38,0,0,0,89
7/22/22,50,0,0,0,58,35,0,0,0,71,33,0,0,0,0,0,0,0,0,35,0,0,0,0,17,0,45,0,97,16,0,54,91,0,37,61,0,47,0,0,0,0,86,0,0,0,38,0,0,0,0,88
7/23/22,61,0,0,0,39,0,0,0,0,43,0,0,0,0,0,0,0,0,44,0,0,49,0,0,22,0,36,0,0,100,0,0,28,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,80
7/24/22,53,0,0,0,32,0,0,0,26,0,0,0,0,0,0,0,64,40,0,0,0,28,0,0,0,35,0,0,51,0,0,58,0,31,58,66,68,0,0,0,0,45,94,0,100,53,0,0,0,100,0,71
